cause_of_death,chapter,count,year,sex,cause_of_death_map
Malignant neoplasm of bronchus and lung,Neoplasms,3221,2013,Females,
Malignant neoplasm of thymus,Neoplasms,8,2013,Females,
"Malignant neoplasm of heart, mediastinum and pleura",Neoplasms,10,2013,Females,
Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,Neoplasms,1,2013,Females,
Malignant neoplasms of bone and articular cartilage,Neoplasms,46,2013,Females,
Malignant neoplasm of bone and articular cartilage of limbs,Neoplasms,1,2013,Females,
Malignant neoplasm of bone and articular cartilage of other and unspecified sites,Neoplasms,45,2013,Females,
Melanoma and other malignant neoplasms of skin,Neoplasms,685,2013,Females,
Malignant melanoma of skin,Neoplasms,509,2013,Females,
Other malignant neoplasms of skin,Neoplasms,176,2013,Females,
Malignant neoplasms of mesothelial and soft tissue,Neoplasms,332,2013,Females,
Mesothelioma,Neoplasms,119,2013,Females,
Kaposi sarcoma,Neoplasms,1,2013,Females,
Malignant neoplasm of peripheral nerves and autonomic nervous system,Neoplasms,2,2013,Females,
Malignant neoplasm of retroperitoneum and peritoneum,Neoplasms,67,2013,Females,
Malignant neoplasm of other connective and soft tissue,Neoplasms,143,2013,Females,
Malignant neoplasm of breast,Neoplasms,2862,2013,Females,
Malignant neoplasm of breast,Neoplasms,2862,2013,Females,
Malignant neoplasms of female genital organs,Neoplasms,1762,2013,Females,
Malignant neoplasm of vulva,Neoplasms,105,2013,Females,
Malignant neoplasm of vagina,Neoplasms,31,2013,Females,
Malignant neoplasm of cervix uteri,Neoplasms,224,2013,Females,
Malignant neoplasm of corpus uteri,Neoplasms,268,2013,Females,
"Malignant neoplasm of uterus, part unspecified",Neoplasms,156,2013,Females,
Malignant neoplasm of ovary,Neoplasms,949,2013,Females,
Malignant neoplasm of other and unspecified female genital organs,Neoplasms,29,2013,Females,
Malignant neoplasm of placenta,Neoplasms,0,2013,Females,
Malignant neoplasms of male genital organs,Neoplasms,0,2013,Females,
Malignant neoplasm of penis,Neoplasms,0,2013,Females,
Malignant neoplasm of prostate,Neoplasms,0,2013,Females,
Malignant neoplasm of testis,Neoplasms,0,2013,Females,
Malignant neoplasm of other and unspecified male genital organs,Neoplasms,0,2013,Females,
Malignant neoplasms of urinary tract,Neoplasms,695,2013,Females,
"Malignant neoplasm of kidney, except renal pelvis",Neoplasms,336,2013,Females,
Malignant neoplasm of renal pelvis,Neoplasms,3,2013,Females,
Malignant neoplasm of ureter,Neoplasms,23,2013,Females,
Malignant neoplasm of bladder,Neoplasms,278,2013,Females,
Malignant neoplasm of other and unspecified urinary organs,Neoplasms,55,2013,Females,
"Malignant neoplasms of eye, brain and other parts of central nervous system",Neoplasms,557,2013,Females,
Malignant neoplasm of eye and adnexa,Neoplasms,9,2013,Females,
Malignant neoplasm of meninges,Neoplasms,3,2013,Females,
Malignant neoplasm of brain,Neoplasms,543,2013,Females,
"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",Neoplasms,2,2013,Females,
Malignant neoplasms of thyroid and other endocrine glands,Neoplasms,105,2013,Females,
Malignant neoplasm of thyroid gland,Neoplasms,74,2013,Females,
Malignant neoplasm of adrenal gland,Neoplasms,25,2013,Females,
Malignant neoplasm of other endocrine glands and related structures,Neoplasms,6,2013,Females,
"Malignant neoplasms of ill-defined, secondary and unspecified sites",Neoplasms,1311,2013,Females,
Malignant neoplasm of other and ill-defined sites,Neoplasms,90,2013,Females,
Secondary and unspecified malignant neoplasm of lymph nodes,Neoplasms,0,2013,Females,
Secondary malignant neoplasm of respiratory and digestive organs,Neoplasms,0,2013,Females,
Secondary malignant neoplasm of other and unspecified sites,Neoplasms,0,2013,Females,
"Malignant neoplasm, without specification of site",Neoplasms,1221,2013,Females,
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",Neoplasms,1738,2013,Females,
Hodgkin lymphoma,Neoplasms,23,2013,Females,
Follicular lymphoma,Neoplasms,26,2013,Females,
Non-follicular lymphoma,Neoplasms,136,2013,Females,
Mature T/NK-cell lymphomas,Neoplasms,40,2013,Females,
Other and unspecified types of non-Hodgkin lymphoma,Neoplasms,432,2013,Females,
Other specified types of T/NK-cell lymphoma,Neoplasms,7,2013,Females,
Malignant immunoproliferative diseases,Neoplasms,13,2013,Females,
Multiple myeloma and malignant plasma cell neoplasms,Neoplasms,377,2013,Females,
Lymphoid leukaemia,Neoplasms,175,2013,Females,
Myeloid leukaemia,Neoplasms,402,2013,Females,
Monocytic leukaemia,Neoplasms,35,2013,Females,
Other leukaemias of specified cell type,Neoplasms,3,2013,Females,
Leukaemia of unspecified cell type,Neoplasms,64,2013,Females,
"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue",Neoplasms,5,2013,Females,
Malignant neoplasms of independent (primary) multiple sites,Neoplasms,0,2013,Females,
Malignant neoplasms of independent (primary) multiple sites,Neoplasms,0,2013,Females,
Other Neoplasms,Neoplasms,549,2013,Females,
In situ neoplasms,Neoplasms,0,2013,Females,
"Carcinoma in situ of oral cavity, oesophagus and stomach",Neoplasms,0,2013,Females,
Carcinoma in situ of other and unspecified digestive organs,Neoplasms,0,2013,Females,
Carcinoma in situ of middle ear and respiratory system,Neoplasms,0,2013,Females,
Melanoma in situ,Neoplasms,0,2013,Females,
Carcinoma in situ of skin,Neoplasms,0,2013,Females,
Carcinoma in situ of breast,Neoplasms,0,2013,Females,
Carcinoma in situ of cervix uteri,Neoplasms,0,2013,Females,
Carcinoma in situ of other and unspecified genital organs,Neoplasms,0,2013,Females,
Carcinoma in situ of other and unspecified sites,Neoplasms,0,2013,Females,
Benign neoplasms,Neoplasms,86,2013,Females,
Benign neoplasm of mouth and pharynx,Neoplasms,0,2013,Females,
Benign neoplasm of major salivary glands,Neoplasms,0,2013,Females,
"Benign neoplasm of colon, rectum, anus and anal canal",Neoplasms,0,2013,Females,
Benign neoplasm of other and ill-defined parts of digestive system,Neoplasms,3,2013,Females,
Benign neoplasm of middle ear and respiratory system,Neoplasms,0,2013,Females,
Benign neoplasm of other and unspecified intrathoracic organs,Neoplasms,5,2013,Females,
Benign neoplasm of bone and articular cartilage,Neoplasms,0,2013,Females,
Benign lipomatous neoplasm,Neoplasms,0,2013,Females,
"Haemangioma and lymphangioma, any site",Neoplasms,5,2013,Females,
Benign neoplasm of mesothelial tissue,Neoplasms,0,2013,Females,
Benign neoplasm of soft tissue of retroperitoneum and peritoneum,Neoplasms,0,2013,Females,
Other benign neoplasms of connective and other soft tissue,Neoplasms,1,2013,Females,
Melanocytic naevi,Neoplasms,0,2013,Females,
Other benign neoplasms of skin,Neoplasms,0,2013,Females,
Benign neoplasm of breast,Neoplasms,0,2013,Females,
Leiomyoma of uterus,Neoplasms,1,2013,Females,
Other benign neoplasms of uterus,Neoplasms,0,2013,Females,
Benign neoplasm of ovary,Neoplasms,0,2013,Females,
Benign neoplasm of other and unspecified female genital organs,Neoplasms,0,2013,Females,
Benign neoplasm of male genital organs,Neoplasms,0,2013,Females,
Benign neoplasm of urinary organs,Neoplasms,0,2013,Females,
Benign neoplasm of eye and adnexa,Neoplasms,0,2013,Females,
Benign neoplasm of meninges,Neoplasms,57,2013,Females,
Benign neoplasm of brain and other parts of central nervous system,Neoplasms,6,2013,Females,
Benign neoplasm of thyroid gland,Neoplasms,0,2013,Females,
Benign neoplasm of other and unspecified endocrine glands,Neoplasms,6,2013,Females,
Benign neoplasm of other and unspecified sites,Neoplasms,2,2013,Females,
Neoplasms of uncertain or unknown behaviour,Neoplasms,463,2013,Females,
Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs,Neoplasms,43,2013,Females,
Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs,Neoplasms,15,2013,Females,
Neoplasm of uncertain or unknown behaviour of female genital organs,Neoplasms,10,2013,Females,
Neoplasm of uncertain or unknown behaviour of male genital organs,Neoplasms,0,2013,Females,
Neoplasm of uncertain or unknown behaviour of urinary organs,Neoplasms,9,2013,Females,
Neoplasm of uncertain or unknown behaviour of meninges,Neoplasms,1,2013,Females,
Neoplasm of uncertain or unknown behaviour of brain and central nervous system,Neoplasms,74,2013,Females,
Neoplasm of uncertain or unknown behaviour of endocrine glands,Neoplasms,7,2013,Females,
Polycythaemia vera,Neoplasms,14,2013,Females,
Myelodysplastic syndromes,Neoplasms,152,2013,Females,
"Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue",Neoplasms,94,2013,Females,
Neoplasm of uncertain or unknown behaviour of other and unspecified sites,Neoplasms,44,2013,Females,
Nutritional anaemias,,27,2013,Females,
Iron deficiency anaemia,,23,2013,Females,
Vitamin B12 deficiency anaemia,,2,2013,Females,
Folate deficiency anaemia,,0,2013,Females,
Other nutritional anaemias,,2,2013,Females,
Haemolytic anaemias,,19,2013,Females,
Anaemia due to enzyme disorders,,0,2013,Females,
Thalassaemia,,2,2013,Females,
Sickle-cell disorders,,1,2013,Females,
Other hereditary haemolytic anaemias,,7,2013,Females,
Acquired haemolytic anaemia,,9,2013,Females,
Aplastic and other anaemias,,120,2013,Females,
Acquired pure red cell aplasia [erythroblastopenia],,1,2013,Females,
Other aplastic anaemias,,41,2013,Females,
Acute posthaemorrhagic anaemia,,0,2013,Females,
Other anaemias,,78,2013,Females,
"Coagulation defects, purpura and other haemorrhagic conditions",,54,2013,Females,
Disseminated intravascular coagulation [defibrination syndrome],,16,2013,Females,
Hereditary factor VIII deficiency,,1,2013,Females,
Hereditary factor IX deficiency,,0,2013,Females,
Other coagulation defects,,14,2013,Females,
Purpura and other haemorrhagic conditions,,23,2013,Females,
Other diseases of blood and blood-forming organs,,27,2013,Females,
Agranulocytosis,,12,2013,Females,
Functional disorders of polymorphonuclear neutrophils,,0,2013,Females,
Other disorders of white blood cells,,0,2013,Females,
Diseases of spleen,,2,2013,Females,
Methaemoglobinaemia,,0,2013,Females,
Other diseases of blood and blood-forming organs,,6,2013,Females,
Other specified diseases with participation of lymphoreticular tissue and reticulohistiocytic tissue,,7,2013,Females,
Certain disorders involving the immune mechanism,,36,2013,Females,
Immunodeficiency with predominantly antibody defects,,0,2013,Females,
Combined immunodeficiencies,,0,2013,Females,
Immunodeficiency associated with other major defects,,2,2013,Females,
Common variable immunodeficiency,,1,2013,Females,
Other immunodeficiencies,,9,2013,Females,
Sarcoidosis,,18,2013,Females,
"Other disorders involving the immune mechanism, not elsewhere classified",,6,2013,Females,
Disorders of thyroid gland,"Endocrine, nutritional and metabolic diseases",115,2013,Females,
Congenital iodine-deficiency syndrome,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Iodine-deficiency-related thyroid disorders and allied conditions,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Subclinical iodine-deficiency hypothyroidism,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Other hypothyroidism,"Endocrine, nutritional and metabolic diseases",77,2013,Females,
Other nontoxic goitre,"Endocrine, nutritional and metabolic diseases",2,2013,Females,
Thyrotoxicosis [hyperthyroidism],"Endocrine, nutritional and metabolic diseases",33,2013,Females,
Thyroiditis,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Other disorders of thyroid,"Endocrine, nutritional and metabolic diseases",3,2013,Females,
Diabetes mellitus,"Endocrine, nutritional and metabolic diseases",2032,2013,Females,
Insulin-dependent diabetes mellitus,"Endocrine, nutritional and metabolic diseases",167,2013,Females,
Non-insulin-dependent diabetes mellitus,"Endocrine, nutritional and metabolic diseases",911,2013,Females,
Malnutrition-related diabetes mellitus,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Other specified diabetes mellitus,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Unspecified diabetes mellitus,"Endocrine, nutritional and metabolic diseases",954,2013,Females,
Other disorders of glucose regulation and pancreatic internal secretion,"Endocrine, nutritional and metabolic diseases",12,2013,Females,
Nondiabetic hypoglycaemic coma,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Other disorders of pancreatic internal secretion,"Endocrine, nutritional and metabolic diseases",12,2013,Females,
Disorders of other endocrine glands,"Endocrine, nutritional and metabolic diseases",29,2013,Females,
Hypoparathyroidism,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Hyperparathyroidism and other disorders of parathyroid gland,"Endocrine, nutritional and metabolic diseases",10,2013,Females,
Hyperfunction of pituitary gland,"Endocrine, nutritional and metabolic diseases",4,2013,Females,
Hypofunction and other disorders of pituitary gland,"Endocrine, nutritional and metabolic diseases",6,2013,Females,
Cushing syndrome,"Endocrine, nutritional and metabolic diseases",1,2013,Females,
Adrenogenital disorders,"Endocrine, nutritional and metabolic diseases",1,2013,Females,
Hyperaldosteronism,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Other disorders of adrenal gland,"Endocrine, nutritional and metabolic diseases",7,2013,Females,
Ovarian dysfunction,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Testicular dysfunction,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
"Disorders of puberty, not elsewhere classified","Endocrine, nutritional and metabolic diseases",0,2013,Females,
Polyglandular dysfunction,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Diseases of thymus,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Other endocrine disorders,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Malnutrition,"Endocrine, nutritional and metabolic diseases",47,2013,Females,
Kwashiorkor,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Nutritional marasmus,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Marasmic kwashiorkor,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Unspecified severe protein-energy malnutrition,"Endocrine, nutritional and metabolic diseases",7,2013,Females,
Protein-energy malnutrition of moderate and mild degree,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Retarded development following protein-energy malnutrition,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Unspecified protein-energy malnutrition,"Endocrine, nutritional and metabolic diseases",40,2013,Females,
Other nutritional deficiencies,"Endocrine, nutritional and metabolic diseases",6,2013,Females,
Vitamin A deficiency,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Thiamine deficiency,"Endocrine, nutritional and metabolic diseases",1,2013,Females,
Niacin deficiency [pellagra],"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Deficiency of other B group vitamins,"Endocrine, nutritional and metabolic diseases",4,2013,Females,
Ascorbic acid deficiency,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Vitamin D deficiency,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Other vitamin deficiencies,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Dietary calcium deficiency,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Dietary selenium deficiency,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Dietary zinc deficiency,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Deficiency of other nutrient elements,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Other nutritional deficiencies,"Endocrine, nutritional and metabolic diseases",1,2013,Females,
Sequelae of malnutrition and other nutritional deficiencies,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Obesity and other hyperalimentation,"Endocrine, nutritional and metabolic diseases",118,2013,Females,
Localized adiposity,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Obesity,"Endocrine, nutritional and metabolic diseases",118,2013,Females,
Other hyperalimentation,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Sequelae of hyperalimentation,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Metabolic disorders,"Endocrine, nutritional and metabolic diseases",653,2013,Females,
Disorders of aromatic amino-acid metabolism,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism,"Endocrine, nutritional and metabolic diseases",1,2013,Females,
Other disorders of amino-acid metabolism,"Endocrine, nutritional and metabolic diseases",5,2013,Females,
Lactose intolerance,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Other disorders of carbohydrate metabolism,"Endocrine, nutritional and metabolic diseases",2,2013,Females,
Disorders of sphingolipid metabolism and other lipid storage disorders,"Endocrine, nutritional and metabolic diseases",7,2013,Females,
Disorders of glycosaminoglycan metabolism,"Endocrine, nutritional and metabolic diseases",3,2013,Females,
Disorders of glycoprotein metabolism,"Endocrine, nutritional and metabolic diseases",1,2013,Females,
Disorders of lipoprotein metabolism and other lipidaemias,"Endocrine, nutritional and metabolic diseases",344,2013,Females,
Disorders of purine and pyrimidine metabolism,"Endocrine, nutritional and metabolic diseases",0,2013,Females,
Disorders of porphyrin and bilirubin metabolism,"Endocrine, nutritional and metabolic diseases",2,2013,Females,
Disorders of mineral metabolism,"Endocrine, nutritional and metabolic diseases",21,2013,Females,
Cystic fibrosis,"Endocrine, nutritional and metabolic diseases",12,2013,Females,
Amyloidosis,"Endocrine, nutritional and metabolic diseases",50,2013,Females,
Volume depletion,"Endocrine, nutritional and metabolic diseases",74,2013,Females,
"Other disorders of fluid, electrolyte and acid-base balance","Endocrine, nutritional and metabolic diseases",101,2013,Females,
Other metabolic disorders,"Endocrine, nutritional and metabolic diseases",30,2013,Females,
"Postprocedural endocrine and metabolic disorders, not elsewhere classified","Endocrine, nutritional and metabolic diseases",0,2013,Females,
"Organic, including symptomatic, mental disorders",Mental and behavioural disorders,5082,2013,Females,Symptomatic Mental Disorders
Vascular dementia,Mental and behavioural disorders,577,2013,Females,Dementia
Unspecified dementia,Mental and behavioural disorders,4415,2013,Females,Dementia
"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances",Mental and behavioural disorders,0,2013,Females,
"Delirium, not induced by alcohol and other psychoactive substances",Mental and behavioural disorders,88,2013,Females,
Other mental disorders due to brain damage and dysfunction and to physical disease,Mental and behavioural disorders,2,2013,Females,
"Personality and behavioural disorders due to brain disease, damage and dysfunction",Mental and behavioural disorders,0,2013,Females,
Unspecified organic or symptomatic mental disorder,Mental and behavioural disorders,0,2013,Females,
Mental and behavioural disorders due to psychoactive substance use,Mental and behavioural disorders,58,2013,Females,Mental Disorder due to substance use
Mental and behavioural disorders due to use of alcohol,Mental and behavioural disorders,46,2013,Females,Mental Disorder due to substance use
Mental and behavioural disorders due to use of opioids,Mental and behavioural disorders,1,2013,Females,
Mental and behavioural disorders due to use of cannabinoids,Mental and behavioural disorders,1,2013,Females,
Mental and behavioural disorders due to use of sedatives or hypnotics,Mental and behavioural disorders,2,2013,Females,
Mental and behavioural disorders due to use of cocaine,Mental and behavioural disorders,0,2013,Females,
"Mental and behavioural disorders due to use of other stimulants, including caffeine",Mental and behavioural disorders,1,2013,Females,
Mental and behavioural disorders due to use of hallucinogens,Mental and behavioural disorders,0,2013,Females,
Mental and behavioural disorders due to use of tobacco,Mental and behavioural disorders,0,2013,Females,
Mental and behavioural disorders due to use of volatile solvents,Mental and behavioural disorders,0,2013,Females,
Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,Mental and behavioural disorders,7,2013,Females,
"Schizophrenia, schizotypal and delusional disorders",Mental and behavioural disorders,35,2013,Females,
Schizophrenia,Mental and behavioural disorders,31,2013,Females,
Schizotypal disorder,Mental and behavioural disorders,0,2013,Females,
Persistent delusional disorders,Mental and behavioural disorders,0,2013,Females,
Acute and transient psychotic disorders,Mental and behavioural disorders,0,2013,Females,
Induced delusional disorder,Mental and behavioural disorders,0,2013,Females,
Schizoaffective disorders,Mental and behavioural disorders,2,2013,Females,
Other nonorganic psychotic disorders,Mental and behavioural disorders,0,2013,Females,
Unspecified nonorganic psychosis,Mental and behavioural disorders,2,2013,Females,
Mood [affective] disorders,Mental and behavioural disorders,40,2013,Females,
Manic episode,Mental and behavioural disorders,0,2013,Females,
Bipolar affective disorder,Mental and behavioural disorders,2,2013,Females,
Depressive episode,Mental and behavioural disorders,38,2013,Females,
Recurrent depressive disorder,Mental and behavioural disorders,0,2013,Females,
Persistent mood [affective] disorders,Mental and behavioural disorders,0,2013,Females,
Other mood [affective] disorders,Mental and behavioural disorders,0,2013,Females,
Unspecified mood [affective] disorder,Mental and behavioural disorders,0,2013,Females,
"Neurotic, stress-related and somatoform disorders",Mental and behavioural disorders,9,2013,Females,
Phobic anxiety disorders,Mental and behavioural disorders,0,2013,Females,
Other anxiety disorders,Mental and behavioural disorders,5,2013,Females,
Obsessive-compulsive disorder,Mental and behavioural disorders,0,2013,Females,
"Reaction to severe stress, and adjustment disorders",Mental and behavioural disorders,3,2013,Females,
Dissociative [conversion] disorders,Mental and behavioural disorders,0,2013,Females,
Somatoform disorders,Mental and behavioural disorders,0,2013,Females,
Other neurotic disorders,Mental and behavioural disorders,1,2013,Females,
Behavioural syndromes associated with physiological disturbances and physical factors,Mental and behavioural disorders,9,2013,Females,
Eating disorders,Mental and behavioural disorders,9,2013,Females,
Nonorganic sleep disorders,Mental and behavioural disorders,0,2013,Females,
"Sexual dysfunction, not caused by organic disorder or disease",Mental and behavioural disorders,0,2013,Females,
"Mental and behavioural disorders associated with the puerperium, not elsewhere classified",Mental and behavioural disorders,0,2013,Females,
Psychological and behavioural factors associated with disorders or diseases classified elsewhere,Mental and behavioural disorders,0,2013,Females,
Abuse of non-dependence-producing substances,Mental and behavioural disorders,0,2013,Females,
Unspecified behavioural syndromes associated with physiological disturbances and physical factors,Mental and behavioural disorders,0,2013,Females,
Disorders of adult personality and behaviour,Mental and behavioural disorders,1,2013,Females,
Specific personality disorders,Mental and behavioural disorders,1,2013,Females,
Mixed and other personality disorders,Mental and behavioural disorders,0,2013,Females,
"Enduring personality changes, not attributable to brain damage and disease",Mental and behavioural disorders,0,2013,Females,
Habit and impulse disorders,Mental and behavioural disorders,0,2013,Females,
Gender identity disorders,Mental and behavioural disorders,0,2013,Females,
Disorders of sexual preference,Mental and behavioural disorders,0,2013,Females,
Psychological and behavioural disorders associated with sexual development and orientation,Mental and behavioural disorders,0,2013,Females,
Other disorders of adult personality and behaviour,Mental and behavioural disorders,0,2013,Females,
Unspecified disorder of adult personality and behaviour,Mental and behavioural disorders,0,2013,Females,
Mental retardation,Mental and behavioural disorders,5,2013,Females,
Mild mental retardation,Mental and behavioural disorders,0,2013,Females,
Moderate mental retardation,Mental and behavioural disorders,0,2013,Females,
Severe mental retardation,Mental and behavioural disorders,0,2013,Females,
Profound mental retardation,Mental and behavioural disorders,0,2013,Females,
Other mental retardation,Mental and behavioural disorders,0,2013,Females,
Unspecified mental retardation,Mental and behavioural disorders,5,2013,Females,
Disorders of psychological development,Mental and behavioural disorders,1,2013,Females,
Specific developmental disorders of speech and language,Mental and behavioural disorders,0,2013,Females,
Specific developmental disorders of scholastic skills,Mental and behavioural disorders,0,2013,Females,
Specific developmental disorder of motor function,Mental and behavioural disorders,0,2013,Females,
Mixed specific developmental disorders,Mental and behavioural disorders,0,2013,Females,
Pervasive developmental disorders,Mental and behavioural disorders,1,2013,Females,
Other disorders of psychological development,Mental and behavioural disorders,0,2013,Females,
Unspecified disorder of psychological development,Mental and behavioural disorders,0,2013,Females,
Behavioural and emotional disorders with onset usually occurring in childhood and adolescence,Mental and behavioural disorders,1,2013,Females,
Hyperkinetic disorders,Mental and behavioural disorders,0,2013,Females,
Conduct disorders,Mental and behavioural disorders,0,2013,Females,
Mixed disorders of conduct and emotions,Mental and behavioural disorders,0,2013,Females,
Emotional disorders with onset specific to childhood,Mental and behavioural disorders,0,2013,Females,
Disorders of social functioning with onset specific to childhood and adolescence,Mental and behavioural disorders,0,2013,Females,
Tic disorders,Mental and behavioural disorders,1,2013,Females,
Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,Mental and behavioural disorders,0,2013,Females,
Unspecified mental disorder,Mental and behavioural disorders,2,2013,Females,
"Mental disorder, not otherwise specified",Mental and behavioural disorders,2,2013,Females,
Inflammatory diseases of the central nervous system,Diseases of the nervous system,34,2013,Females,
"Bacterial meningitis, not elsewhere classified",Diseases of the nervous system,7,2013,Females,
Meningitis due to other and unspecified causes,Diseases of the nervous system,5,2013,Females,
"Encephalitis, myelitis and encephalomyelitis",Diseases of the nervous system,14,2013,Females,
Intracranial and intraspinal abscess and granuloma,Diseases of the nervous system,4,2013,Females,
Intracranial and intraspinal phlebitis and thrombophlebitis,Diseases of the nervous system,1,2013,Females,
Sequelae of inflammatory diseases of central nervous system,Diseases of the nervous system,3,2013,Females,
Systemic atrophies primarily affecting the central nervous system,Diseases of the nervous system,379,2013,Females,
Huntington disease,Diseases of the nervous system,43,2013,Females,
Hereditary ataxia,Diseases of the nervous system,6,2013,Females,
Spinal muscular atrophy and related syndromes,Diseases of the nervous system,328,2013,Females,
Postpolio syndrome,Diseases of the nervous system,2,2013,Females,
Extrapyramidal and movement disorders,Diseases of the nervous system,649,2013,Females,
Parkinson disease,Diseases of the nervous system,627,2013,Females,
Secondary parkinsonism,Diseases of the nervous system,8,2013,Females,
Other degenerative diseases of basal ganglia,Diseases of the nervous system,11,2013,Females,
Dystonia,Diseases of the nervous system,0,2013,Females,
Other extrapyramidal and movement disorders,Diseases of the nervous system,3,2013,Females,
Other degenerative diseases of the nervous system,Diseases of the nervous system,2492,2013,Females,
Alzheimer disease,Diseases of the nervous system,2285,2013,Females,
"Other degenerative diseases of nervous system, not elsewhere classified",Diseases of the nervous system,207,2013,Females,
Demyelinating diseases of the central nervous system,Diseases of the nervous system,112,2013,Females,
Multiple sclerosis,Diseases of the nervous system,106,2013,Females,
Other acute disseminated demyelination,Diseases of the nervous system,2,2013,Females,
Other demyelinating diseases of central nervous system,Diseases of the nervous system,4,2013,Females,
Episodic and paroxysmal disorders,Diseases of the nervous system,159,2013,Females,
Epilepsy,Diseases of the nervous system,102,2013,Females,
Status epilepticus,Diseases of the nervous system,10,2013,Females,
Migraine,Diseases of the nervous system,0,2013,Females,
Other headache syndromes,Diseases of the nervous system,0,2013,Females,
Transient cerebral ischaemic attacks and related syndromes,Diseases of the nervous system,30,2013,Females,
Sleep disorders,Diseases of the nervous system,17,2013,Females,
"Nerve, nerve root and plexus disorders",Diseases of the nervous system,2,2013,Females,
Disorders of trigeminal nerve,Diseases of the nervous system,0,2013,Females,
Facial nerve disorders,Diseases of the nervous system,2,2013,Females,
Disorders of other cranial nerves,Diseases of the nervous system,0,2013,Females,
Nerve root and plexus disorders,Diseases of the nervous system,0,2013,Females,
Mononeuropathies of upper limb,Diseases of the nervous system,0,2013,Females,
Mononeuropathies of lower limb,Diseases of the nervous system,0,2013,Females,
Other mononeuropathies,Diseases of the nervous system,0,2013,Females,
Polyneuropathies and other disorders of the peripheral nervous system,Diseases of the nervous system,27,2013,Females,
Hereditary and idiopathic neuropathy,Diseases of the nervous system,4,2013,Females,
Inflammatory polyneuropathy,Diseases of the nervous system,7,2013,Females,
Other polyneuropathies,Diseases of the nervous system,15,2013,Females,
Other disorders of peripheral nervous system,Diseases of the nervous system,1,2013,Females,
Diseases of myoneural junction and muscle,Diseases of the nervous system,56,2013,Females,
Myasthenia gravis and other myoneural disorders,Diseases of the nervous system,15,2013,Females,
Primary disorders of muscles,Diseases of the nervous system,28,2013,Females,
Other myopathies,Diseases of the nervous system,13,2013,Females,
Cerebral palsy and other paralytic syndromes,Diseases of the nervous system,82,2013,Females,
Cerebral palsy,Diseases of the nervous system,43,2013,Females,
Hemiplegia,Diseases of the nervous system,8,2013,Females,
Paraplegia and tetraplegia,Diseases of the nervous system,28,2013,Females,
Other paralytic syndromes,Diseases of the nervous system,3,2013,Females,
Other disorders of the nervous system,Diseases of the nervous system,155,2013,Females,
Disorders of autonomic nervous system,Diseases of the nervous system,46,2013,Females,
Hydrocephalus,Diseases of the nervous system,20,2013,Females,
Toxic encephalopathy,Diseases of the nervous system,0,2013,Females,
Other disorders of brain,Diseases of the nervous system,74,2013,Females,
Other diseases of spinal cord,Diseases of the nervous system,5,2013,Females,
