cause_of_death,chapter,category,2008_Males,2008_Females,2008_Persons,2009_Males,2009_Females,2009_Persons,2010_Males,2010_Females,2010_Persons,2011_Males,2011_Females,2011_Persons,2012_Males,2012_Females,2012_Persons,2013_Males,2013_Females,2013_Persons,2014_Males,2014_Females,2014_Persons,2015_Males,2015_Females,2015_Persons,2016_Males,2016_Females,2016_Persons,2017_Males,2017_Females,2017_Persons
Other joint disorders,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,12,11,23,7,9,16,6,9,15,7,10,17,6,9,15,2,9,11,3,5,8,6,5,11,4,9,13,8,8,16
Acquired deformities of fingers and toes,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other acquired deformities of limbs,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,0,0,0,1,1,2,0,0,0,0,1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Disorders of patella,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Internal derangement of knee,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other specific joint derangements,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,0,1,1,1,0,1,0,0,0,0,0,0,0,2,2,0,1,1,0,1,1,0,0,0,0,2,2,1,0,1
"Other joint disorders, not elsewhere classified",CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,12,10,22,5,7,12,6,9,15,7,8,15,6,7,13,1,7,8,3,4,7,6,5,11,4,7,11,7,8,15
Systemic connective tissue disorders,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,79,163,242,57,202,259,73,177,250,71,163,234,66,190,256,71,175,246,64,173,237,88,185,273,71,196,267,73,212,285
Polyarteritis nodosa and related conditions,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,4,4,8,6,6,12,7,0,7,6,1,7,3,2,5,5,4,9,4,8,12,4,3,7,6,12,18,8,4,12
Other necrotizing vasculopathies,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,26,23,49,22,31,53,17,20,37,24,22,46,19,24,43,21,27,48,23,21,44,30,19,49,27,24,51,20,26,46
Systemic lupus erythematosus,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,14,29,43,8,35,43,14,31,45,8,35,43,9,38,47,8,34,42,7,33,40,10,36,46,4,30,34,7,50,57
Dermatopolymyositis,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,9,9,18,3,10,13,3,12,15,4,6,10,3,16,19,4,8,12,1,5,6,11,12,23,5,6,11,8,8,16
Systemic sclerosis,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,18,69,87,15,103,118,21,92,113,21,77,98,22,88,110,25,78,103,22,85,107,24,92,116,21,88,109,14,90,104
Other systemic involvement of connective tissue,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,8,29,37,3,17,20,11,22,33,8,22,30,10,22,32,8,24,32,7,21,28,9,23,32,8,36,44,16,34,50
Dorsopathies,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,27,44,71,33,33,66,28,51,79,38,54,92,36,62,98,20,37,57,31,34,65,29,44,73,38,48,86,41,46,87
Deforming dorsopathies,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,4,21,25,4,14,18,6,18,24,8,24,32,4,29,33,4,14,18,3,9,12,7,18,25,5,17,22,9,19,28
Kyphosis and lordosis,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,0,6,6,2,2,4,1,4,5,2,4,6,0,6,6,2,5,7,2,2,4,1,6,7,0,5,5,2,8,10
Scoliosis,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,3,15,18,2,11,13,4,14,18,6,19,25,4,20,24,2,7,9,1,7,8,5,12,17,3,10,13,3,9,12
Spinal osteochondrosis,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Other deforming dorsopathies,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,1,0,1,0,1,1,1,0,1,0,1,1,0,2,2,0,2,2,0,0,0,1,0,1,2,2,4,3,2,5
Spondylopathies,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,14,14,28,25,14,39,17,22,39,23,22,45,27,22,49,14,15,29,23,16,39,18,21,39,26,22,48,25,17,42
Ankylosing spondylitis,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,3,0,3,3,0,3,3,0,3,1,1,2,3,1,4,0,0,0,2,0,2,2,1,3,3,2,5,1,0,1
Other inflammatory spondylopathies,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,6,8,14,11,9,20,12,13,25,14,4,18,15,7,22,6,6,12,14,10,24,7,9,16,5,8,13,15,9,24
Spondylosis,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,0,3,3,4,1,5,2,4,6,1,7,8,2,5,7,1,2,3,2,1,3,3,1,4,7,8,15,3,1,4
Other spondylopathies,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,5,3,8,7,4,11,0,5,5,7,10,17,7,9,16,7,7,14,5,5,10,6,10,16,11,4,15,6,7,13
Other dorsopathies,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,9,9,18,4,5,9,5,11,16,7,8,15,5,11,16,2,8,10,5,9,14,4,5,9,7,9,16,7,10,17
Cervical disc disorders,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,1,0,1,0,0,0,1,1,2,1,0,1,2,0,2,2,0,2,1,0,1,0,0,0,1,2,3,1,0,1
Other intervertebral disc disorders,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,2,3,5,1,4,5,1,3,4,1,0,1,1,3,4,0,2,2,1,2,3,2,1,3,0,2,2,4,3,7
"Other dorsopathies, not elsewhere classified",CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,0,0,0,1,0,1,0,0,0,1,1,2,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
Dorsalgia,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,6,6,12,2,1,3,3,7,10,4,7,11,2,7,9,0,6,6,3,7,10,1,4,5,6,4,10,2,7,9
Soft tissue disorders,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,36,34,70,36,37,73,49,43,92,35,40,75,55,44,99,49,40,89,58,47,105,57,49,106,47,39,86,60,70,130
Disorders of muscles,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,27,24,51,21,25,46,32,29,61,24,25,49,30,28,58,21,18,39,38,22,60,30,25,55,30,19,49,31,30,61
Myositis,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,8,8,16,5,7,12,10,4,14,12,9,21,13,5,18,4,7,11,10,7,17,6,5,11,8,4,12,7,6,13
Calcification and ossification of muscle,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Other disorders of muscle,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,19,16,35,16,18,34,22,25,47,12,16,28,17,23,40,17,11,28,28,15,43,24,20,44,22,15,37,24,23,47
Disorders of synovium and tendon,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Synovitis and tenosynovitis,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spontaneous rupture of synovium and tendon,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Other disorders of synovium and tendon,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other soft tissue disorders,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,9,10,19,13,11,24,17,14,31,11,15,26,25,16,41,27,22,49,20,25,45,27,24,51,17,20,37,29,40,69
"Soft tissue disorders related to use, overuse and pressure",CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,2,4,0,1,1,2,1,3,2,1,3,0,0,0
Other bursopathies,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,0,0,0,0,0,0,1,1,2,1,0,1,3,0,3,1,0,1,1,1,2,0,1,1,2,0,2,0,1,1
Fibroblastic disorders,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,6,9,15,12,9,21,16,12,28,9,12,21,20,14,34,23,17,40,19,20,39,23,22,45,12,17,29,26,30,56
Shoulder lesions,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0
"Enthesopathies of lower limb, excluding foot",CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Other enthesopathies,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Other soft tissue disorders, not elsewhere classified",CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,2,1,3,1,2,3,0,1,1,1,3,4,1,2,3,1,3,4,0,1,1,1,0,1,1,2,3,3,8,11
Osteopathies and chondropathies,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,96,271,367,83,221,304,84,256,340,101,250,351,99,222,321,93,225,318,121,235,356,111,252,363,131,287,418,136,245,381
Disorders of bone density and structure,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,50,221,271,45,191,236,34,203,237,36,193,229,38,184,222,36,163,199,45,185,230,43,189,232,50,204,254,47,164,211
Osteoporosis with pathological fracture,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,19,103,122,19,95,114,12,98,110,17,91,108,15,80,95,12,76,88,18,88,106,10,104,114,15,94,109,19,73,92
Osteoporosis without pathological fracture,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,16,87,103,8,68,76,13,87,100,7,69,76,8,80,88,11,68,79,14,74,88,17,69,86,11,77,88,15,65,80
Adult osteomalacia,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,1,1,2,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders of continuity of bone,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,14,30,44,18,28,46,8,18,26,12,33,45,14,23,37,12,19,31,13,22,35,12,16,28,24,33,57,10,26,36
Other disorders of bone density and structure,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,4,0,4,0,0,0,3,0,3
Other osteopathies,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,45,50,95,38,30,68,48,53,101,65,56,121,59,38,97,57,60,117,75,50,125,65,62,127,81,81,162,88,81,169
Osteomyelitis,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,36,42,78,32,24,56,46,44,90,58,47,105,57,30,87,54,54,108,70,46,116,58,55,113,77,71,148,80,72,152
Osteonecrosis,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,3,1,4,0,1,1,0,6,6,0,2,2,0,2,2,2,2,4,1,0,1,2,2,4,2,4,6,4,3,7
Paget disease of bone [osteitis deformans],CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,4,6,10,4,3,7,2,2,4,7,7,14,1,5,6,1,3,4,4,4,8,3,3,6,1,5,6,3,5,8
Other disorders of bone,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,2,1,3,2,2,4,0,1,1,0,0,0,1,1,2,0,1,1,0,0,0,2,2,4,1,1,2,1,1,2
Chondropathies,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,1,0,1,0,0,0,2,0,2,0,1,1,2,0,2,0,2,2,1,0,1,3,1,4,0,2,2,1,0,1
Juvenile osteochondrosis of hip and pelvis,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other juvenile osteochondrosis,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other osteochondropathies,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other disorders of cartilage,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,1,0,1,0,0,0,2,0,2,0,0,0,2,0,2,0,2,2,1,0,1,3,1,4,0,2,2,1,0,1
Other disorders of the musculoskeletal system and connective tissue,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,0,0,0,1,0,1,0,0,0,1,2,3,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Other acquired deformities of musculoskeletal system and connective tissue,CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,0,0,0,1,0,1,0,0,0,1,2,3,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"Postprocedural musculoskeletal disorders, not elsewhere classified",CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Biomechanical lesions, not elsewhere classified",CHAPTER XIII Diseases of the musculoskeletal system and connective tissue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glomerular diseases,CHAPTER XIV Diseases of the genitourinary system,,48,39,87,40,39,79,39,35,74,38,30,68,38,32,70,37,29,66,42,29,71,56,37,93,51,39,90,66,36,102
Acute nephritic syndrome,CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,1,1,1,2,3,1,0,1,2,0,2,3,5,8,6,6,12,10,12,22,11,14,25,11,12,23
Rapidly progressive nephritic syndrome,CHAPTER XIV Diseases of the genitourinary system,,0,1,1,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,1,1,1,1,2
Recurrent and persistent haematuria,CHAPTER XIV Diseases of the genitourinary system,,8,3,11,4,5,9,5,1,6,10,4,14,6,1,7,9,4,13,8,4,12,13,4,17,6,5,11,11,3,14
Chronic nephritic syndrome,CHAPTER XIV Diseases of the genitourinary system,,15,18,33,12,18,30,9,16,25,12,14,26,11,18,29,8,5,13,8,4,12,4,5,9,3,7,10,21,10,31
Nephrotic syndrome,CHAPTER XIV Diseases of the genitourinary system,,7,9,16,9,4,13,5,7,12,7,4,11,4,3,7,5,7,12,2,3,5,5,3,8,11,5,16,6,3,9
Unspecified nephritic syndrome,CHAPTER XIV Diseases of the genitourinary system,,18,8,26,13,11,24,17,9,26,7,8,15,13,10,23,12,8,20,17,11,28,24,13,37,20,7,27,16,7,23
Isolated proteinuria with specified morphological lesion,CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hereditary nephropathy, not elsewhere classified",CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renal tubulo-interstitial diseases,CHAPTER XIV Diseases of the genitourinary system,,40,81,121,36,56,92,35,63,98,55,54,109,34,53,87,51,64,115,39,54,93,55,72,127,53,70,123,52,78,130
Acute tubulo-interstitial nephritis,CHAPTER XIV Diseases of the genitourinary system,,2,3,5,4,3,7,5,7,12,3,3,6,1,4,5,6,9,15,8,6,14,5,11,16,5,6,11,4,5,9
Chronic tubulo-interstitial nephritis,CHAPTER XIV Diseases of the genitourinary system,,1,2,3,1,0,1,1,0,1,1,3,4,0,1,1,0,1,1,0,3,3,0,0,0,0,3,3,1,3,4
"Tubulo-interstitial nephritis, not specified as acute or chronic",CHAPTER XIV Diseases of the genitourinary system,,8,21,29,7,11,18,7,13,20,10,8,18,5,7,12,11,18,29,8,16,24,13,13,26,13,19,32,11,16,27
Obstructive and reflux uropathy,CHAPTER XIV Diseases of the genitourinary system,,25,30,55,19,27,46,18,21,39,34,25,59,25,28,53,28,16,44,16,14,30,25,24,49,25,33,58,30,36,66
Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions,CHAPTER XIV Diseases of the genitourinary system,,3,20,23,3,13,16,3,16,19,5,11,16,2,9,11,4,13,17,5,8,13,9,18,27,3,7,10,4,13,17
Other renal tubulo-interstitial diseases,CHAPTER XIV Diseases of the genitourinary system,,1,5,6,2,2,4,1,6,7,2,4,6,1,4,5,2,7,9,2,7,9,3,6,9,7,2,9,2,5,7
Renal failure,CHAPTER XIV Diseases of the genitourinary system,,"1,226","1,372","2,598","1,254","1,477","2,731","1,148","1,342","2,490","1,207","1,246","2,453","1,281","1,396","2,677",941,"1,060","2,001",946,"1,128","2,074","1,086","1,194","2,280","1,010","1,170","2,180","1,094","1,149","2,243"
Acute renal failure,CHAPTER XIV Diseases of the genitourinary system,,207,259,466,225,297,522,196,285,481,213,250,463,215,298,513,95,172,267,132,183,315,140,213,353,138,189,327,157,172,329
Chronic kidney disease,CHAPTER XIV Diseases of the genitourinary system,,719,709,"1,428",714,769,"1,483",646,683,"1,329",703,633,"1,336",768,721,"1,489",679,651,"1,330",620,674,"1,294",742,733,"1,475",716,757,"1,473",756,742,"1,498"
Unspecified kidney failure,CHAPTER XIV Diseases of the genitourinary system,,300,404,704,315,411,726,306,374,680,291,363,654,298,377,675,167,237,404,194,271,465,204,248,452,156,224,380,181,235,416
Urolithiasis,CHAPTER XIV Diseases of the genitourinary system,,17,15,32,15,13,28,15,9,24,9,14,23,8,18,26,13,19,32,10,19,29,19,15,34,25,16,41,27,25,52
Calculus of kidney and ureter,CHAPTER XIV Diseases of the genitourinary system,,16,15,31,14,13,27,15,9,24,9,14,23,8,16,24,11,19,30,8,19,27,14,15,29,23,16,39,25,25,50
Calculus of lower urinary tract,CHAPTER XIV Diseases of the genitourinary system,,1,0,1,1,0,1,0,0,0,0,0,0,0,2,2,2,0,2,2,0,2,5,0,5,1,0,1,2,0,2
Unspecified renal colic,CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Other disorders of kidney and ureter,CHAPTER XIV Diseases of the genitourinary system,,36,27,63,42,36,78,43,33,76,48,42,90,57,73,130,32,19,51,25,26,51,20,22,42,25,22,47,37,22,59
Disorders resulting from impaired renal tubular function,CHAPTER XIV Diseases of the genitourinary system,,0,1,1,1,2,3,0,2,2,1,1,2,2,2,4,2,3,5,1,3,4,0,1,1,0,1,1,1,2,3
Unspecified contracted kidney,CHAPTER XIV Diseases of the genitourinary system,,5,4,9,2,3,5,2,3,5,2,3,5,1,3,4,4,2,6,4,1,5,4,3,7,1,2,3,9,3,12
Small kidney of unknown cause,CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Other disorders of kidney and ureter, not elsewhere classified",CHAPTER XIV Diseases of the genitourinary system,,31,22,53,39,31,70,41,28,69,45,38,83,54,68,122,26,14,40,20,22,42,16,18,34,24,19,43,27,17,44
Other diseases of urinary system,CHAPTER XIV Diseases of the genitourinary system,,99,235,334,108,199,307,213,340,553,225,416,641,240,482,722,237,485,722,282,536,818,314,550,864,321,550,871,331,648,979
Cystitis,CHAPTER XIV Diseases of the genitourinary system,,3,3,6,4,2,6,0,0,0,1,1,2,3,2,5,3,3,6,0,0,0,4,2,6,2,5,7,8,3,11
"Neuromuscular dysfunction of bladder, not elsewhere classified",CHAPTER XIV Diseases of the genitourinary system,,1,3,4,3,2,5,4,1,5,2,1,3,5,7,12,2,3,5,4,3,7,3,1,4,1,3,4,2,1,3
Other disorders of bladder,CHAPTER XIV Diseases of the genitourinary system,,11,9,20,10,7,17,7,8,15,11,5,16,9,7,16,13,3,16,16,10,26,24,9,33,13,8,21,19,8,27
Urethritis and urethral syndrome,CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urethral stricture,CHAPTER XIV Diseases of the genitourinary system,,4,0,4,1,0,1,0,1,1,1,0,1,3,0,3,1,0,1,1,1,2,3,0,3,0,0,0,4,0,4
Other disorders of urethra,CHAPTER XIV Diseases of the genitourinary system,,0,1,1,3,0,3,1,0,1,1,1,2,1,0,1,0,0,0,3,1,4,3,0,3,0,0,0,1,0,1
Other disorders of urinary system,CHAPTER XIV Diseases of the genitourinary system,,80,219,299,87,188,275,201,330,531,209,408,617,219,466,685,218,476,694,258,521,779,277,538,815,305,534,839,297,636,933
Diseases of male genital organs,CHAPTER XIV Diseases of the genitourinary system,,81,0,81,79,0,79,59,0,59,77,0,77,78,0,78,93,0,93,83,0,83,78,0,78,80,0,80,95,0,95
Hyperplasia of prostate,CHAPTER XIV Diseases of the genitourinary system,,63,0,63,56,0,56,46,0,46,57,0,57,54,0,54,61,0,61,58,0,58,58,0,58,67,0,67,65,0,65
Inflammatory diseases of prostate,CHAPTER XIV Diseases of the genitourinary system,,4,0,4,2,0,2,3,0,3,6,0,6,4,0,4,8,0,8,4,0,4,3,0,3,2,0,2,10,0,10
Other disorders of prostate,CHAPTER XIV Diseases of the genitourinary system,,9,0,9,7,0,7,2,0,2,8,0,8,7,0,7,10,0,10,8,0,8,8,0,8,3,0,3,4,0,4
Hydrocele and spermatocele,CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Torsion of testis,CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orchitis and epididymitis,CHAPTER XIV Diseases of the genitourinary system,,0,0,0,4,0,4,1,0,1,5,0,5,2,0,2,2,0,2,0,0,0,1,0,1,2,0,2,4,0,4
Male infertility,CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Redundant prepuce, phimosis and paraphimosis",CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Other disorders of penis,CHAPTER XIV Diseases of the genitourinary system,,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,0,2,0,0,0,2,0,2,0,0,0
"Inflammatory disorders of male genital organs, not elsewhere classified",CHAPTER XIV Diseases of the genitourinary system,,3,0,3,10,0,10,5,0,5,1,0,1,10,0,10,8,0,8,9,0,9,6,0,6,4,0,4,10,0,10
Other disorders of male genital organs,CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,3,2,0,2,1,0,1,0,0,0,2,0,2
Disorders of breast,CHAPTER XIV Diseases of the genitourinary system,,0,4,4,0,2,2,0,1,1,0,3,3,0,1,1,0,4,4,0,3,3,0,5,5,0,1,1,0,4,4
Benign mammary dysplasia,CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inflammatory disorders of breast,CHAPTER XIV Diseases of the genitourinary system,,0,2,2,0,1,1,0,1,1,0,2,2,0,0,0,0,2,2,0,1,1,0,5,5,0,0,0,0,4,4
Hypertrophy of breast,CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unspecified lump in breast,CHAPTER XIV Diseases of the genitourinary system,,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Other disorders of breast,CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0
Inflammatory diseases of female pelvic organs,CHAPTER XIV Diseases of the genitourinary system,,0,2,2,0,4,4,0,7,7,0,3,3,0,5,5,0,12,12,0,5,5,0,9,9,0,6,6,0,9,9
Salpingitis and oophoritis,CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,0,2,2,0,0,0,0,0,0
"Inflammatory disease of uterus, except cervix",CHAPTER XIV Diseases of the genitourinary system,,0,1,1,0,3,3,0,4,4,0,1,1,0,2,2,0,1,1,0,2,2,0,2,2,0,1,1,0,2,2
Inflammatory disease of cervix uteri,CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other female pelvic inflammatory diseases,CHAPTER XIV Diseases of the genitourinary system,,0,1,1,0,0,0,0,3,3,0,0,0,0,2,2,0,3,3,0,2,2,0,3,3,0,4,4,0,6,6
Diseases of Bartholin gland,CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other inflammation of vagina and vulva,CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,5,5,0,1,1,0,2,2,0,1,1,0,1,1
Noninflammatory disorders of female genital tract,CHAPTER XIV Diseases of the genitourinary system,,0,11,11,0,9,9,0,17,17,0,9,9,0,21,21,0,12,12,0,15,15,0,12,12,0,19,19,0,25,25
Endometriosis,CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Female genital prolapse,CHAPTER XIV Diseases of the genitourinary system,,0,1,1,0,2,2,0,0,0,0,1,1,0,1,1,0,1,1,0,4,4,0,1,1,0,2,2,0,3,3
Fistulae involving female genital tract,CHAPTER XIV Diseases of the genitourinary system,,0,4,4,0,1,1,0,5,5,0,1,1,0,8,8,0,4,4,0,6,6,0,3,3,0,7,7,0,6,6
"Noninflammatory disorders of ovary, fallopian tube and broad ligament",CHAPTER XIV Diseases of the genitourinary system,,0,3,3,0,2,2,0,5,5,0,4,4,0,6,6,0,4,4,0,3,3,0,4,4,0,6,6,0,7,7
Polyp of female genital tract,CHAPTER XIV Diseases of the genitourinary system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
